latency,bram,latency_bram_product,design_name,optimizer_name
93715,356,33362540,Autoencoder__opt5,random_search
64886,426,27641436,Autoencoder__opt5,random_search
94021,344,32343224,Autoencoder__opt5,random_search
64914,392,25446288,Autoencoder__opt5,random_search
79055,362,28617910,Autoencoder__opt5,random_search
64856,448,29055488,Autoencoder__opt5,random_search
154290,334,51532860,Autoencoder__opt5,random_search
68470,382,26155540,Autoencoder__opt5,random_search
65161,384,25021824,Autoencoder__opt5,random_search
65040,388,25235520,Autoencoder__opt5,random_search
40067,76,3045092,Autoencoder__opt5,group_random_search
62673,52,3258996,Autoencoder__opt5,group_random_search
124189,8,993512,Autoencoder__opt5,group_random_search
101583,40,4063320,Autoencoder__opt5,group_random_search
40066,140,5609240,Autoencoder__opt5,group_random_search
40066,460,18430360,Autoencoder__opt5,heuristic
40067,76,3045092,Autoencoder__opt5,init_simulated_annealing
62673,52,3258996,Autoencoder__opt5,init_simulated_annealing
124189,8,993512,Autoencoder__opt5,init_simulated_annealing
101583,40,4063320,Autoencoder__opt5,init_simulated_annealing
40066,140,5609240,Autoencoder__opt5,init_simulated_annealing
90943,338,30738734,Autoencoder__opt5,discrete_simulated_annealing
65011,370,24054070,Autoencoder__opt5,discrete_simulated_annealing
42086,416,17507776,Autoencoder__opt5,discrete_simulated_annealing
64856,390,25293840,Autoencoder__opt5,discrete_simulated_annealing
64918,376,24409168,Autoencoder__opt5,discrete_simulated_annealing
65134,364,23708776,Autoencoder__opt5,discrete_simulated_annealing
79759,342,27277578,Autoencoder__opt5,discrete_simulated_annealing
64823,394,25540262,Autoencoder__opt5,discrete_simulated_annealing
79274,354,28062996,Autoencoder__opt5,discrete_simulated_annealing
65010,372,24183720,Autoencoder__opt5,discrete_simulated_annealing
63074,32,2018368,Autoencoder__opt5,grouped_discrete_simulated_annealing
63406,20,1268120,Autoencoder__opt5,grouped_discrete_simulated_annealing
50543,36,1819548,Autoencoder__opt5,grouped_discrete_simulated_annealing
88911,12,1066932,Autoencoder__opt5,grouped_discrete_simulated_annealing
77617,16,1241872,Autoencoder__opt5,grouped_discrete_simulated_annealing
151690,0,0,Autoencoder__opt5,grouped_discrete_simulated_annealing
92142,4,368568,Autoencoder__opt5,grouped_discrete_simulated_annealing
40066,52,2083432,Autoencoder__opt5,grouped_discrete_simulated_annealing
49892,48,2394816,Autoencoder__opt5,grouped_discrete_simulated_annealing
150669,378,56952882,DepthwiseSeparableConvBlock__opt5,random_search
134577,413,55580301,DepthwiseSeparableConvBlock__opt5,random_search
151714,256,38838784,DepthwiseSeparableConvBlock__opt5,random_search
150184,0,0,DepthwiseSeparableConvBlock__opt5,group_random_search
134540,56,7534240,DepthwiseSeparableConvBlock__opt5,group_random_search
134540,56,7534240,DepthwiseSeparableConvBlock__opt5,heuristic
150632,54,8134128,DepthwiseSeparableConvBlock__opt5,heuristic
150184,0,0,DepthwiseSeparableConvBlock__opt5,init_simulated_annealing
134540,56,7534240,DepthwiseSeparableConvBlock__opt5,init_simulated_annealing
134577,304,40911408,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
151714,276,41873064,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
134573,316,42525068,DepthwiseSeparableConvBlock__opt5,discrete_simulated_annealing
134540,56,7534240,DepthwiseSeparableConvBlock__opt5,grouped_discrete_simulated_annealing
150184,0,0,DepthwiseSeparableConvBlock__opt5,grouped_discrete_simulated_annealing
110487,987,109050669,FeedForward__opt5,random_search
108696,1014,110217744,FeedForward__opt5,random_search
107918,0,0,FeedForward__opt5,group_random_search
65994,64,4223616,FeedForward__opt5,group_random_search
65994,128,8447232,FeedForward__opt5,heuristic
67779,120,8133480,FeedForward__opt5,heuristic
107918,0,0,FeedForward__opt5,init_simulated_annealing
65994,64,4223616,FeedForward__opt5,init_simulated_annealing
68041,1061,72191501,FeedForward__opt5,discrete_simulated_annealing
108696,982,106739472,FeedForward__opt5,discrete_simulated_annealing
68048,1043,70974064,FeedForward__opt5,discrete_simulated_annealing
66256,1072,71026432,FeedForward__opt5,discrete_simulated_annealing
110487,980,108277260,FeedForward__opt5,discrete_simulated_annealing
107918,0,0,FeedForward__opt5,grouped_discrete_simulated_annealing
65994,64,4223616,FeedForward__opt5,grouped_discrete_simulated_annealing
54767,48,2628816,ResMLP__opt5,group_random_search
39776,136,5409536,ResMLP__opt5,group_random_search
40460,84,3398640,ResMLP__opt5,group_random_search
39777,108,4295916,ResMLP__opt5,group_random_search
39775,104,4136600,ResMLP__opt5,heuristic
54767,48,2628816,ResMLP__opt5,init_simulated_annealing
39776,136,5409536,ResMLP__opt5,init_simulated_annealing
40460,84,3398640,ResMLP__opt5,init_simulated_annealing
39777,108,4295916,ResMLP__opt5,init_simulated_annealing
54767,40,2190680,ResMLP__opt5,grouped_discrete_simulated_annealing
62468,32,1998976,ResMLP__opt5,grouped_discrete_simulated_annealing
42701,64,2732864,ResMLP__opt5,grouped_discrete_simulated_annealing
39775,104,4136600,ResMLP__opt5,grouped_discrete_simulated_annealing
40458,72,2912976,ResMLP__opt5,grouped_discrete_simulated_annealing
2099012,130,272871560,ResidualBlock__opt5,random_search
2092530,64,133921920,ResidualBlock__opt5,group_random_search
2098981,0,0,ResidualBlock__opt5,group_random_search
2092529,56,117181624,ResidualBlock__opt5,heuristic
2098981,0,0,ResidualBlock__opt5,heuristic
2092530,64,133921920,ResidualBlock__opt5,init_simulated_annealing
2098981,0,0,ResidualBlock__opt5,init_simulated_annealing
2099012,133,279168596,ResidualBlock__opt5,discrete_simulated_annealing
2098981,0,0,ResidualBlock__opt5,grouped_discrete_simulated_annealing
2092529,56,117181624,ResidualBlock__opt5,grouped_discrete_simulated_annealing
2733,302,825366,atax__opt5,random_search
4329,250,1082250,atax__opt5,random_search
4308,286,1232088,atax__opt5,random_search
3243,0,0,atax__opt5,group_random_search
2179,300,653700,atax__opt5,group_random_search
2179,600,1307400,atax__opt5,heuristic
2711,596,1615756,atax__opt5,heuristic
3243,0,0,atax__opt5,init_simulated_annealing
2179,300,653700,atax__opt5,init_simulated_annealing
2733,290,792570,atax__opt5,discrete_simulated_annealing
4329,272,1177488,atax__opt5,discrete_simulated_annealing
3243,0,0,atax__opt5,grouped_discrete_simulated_annealing
2179,300,653700,atax__opt5,grouped_discrete_simulated_annealing
1132,10,11320,bicg__opt5,random_search
1111,16,17776,bicg__opt5,random_search
1111,0,0,bicg__opt5,group_random_search
1111,0,0,bicg__opt5,heuristic
1111,0,0,bicg__opt5,init_simulated_annealing
1111,0,0,bicg__opt5,discrete_simulated_annealing
1111,0,0,bicg__opt5,grouped_discrete_simulated_annealing
24556,54,1326024,gemm__opt5,random_search
24049,0,0,gemm__opt5,group_random_search
24049,0,0,gemm__opt5,heuristic
24049,0,0,gemm__opt5,init_simulated_annealing
24556,56,1375136,gemm__opt5,discrete_simulated_annealing
24049,0,0,gemm__opt5,grouped_discrete_simulated_annealing
686,8,5488,gesummv__opt5,random_search
673,0,0,gesummv__opt5,group_random_search
673,0,0,gesummv__opt5,heuristic
673,0,0,gesummv__opt5,init_simulated_annealing
673,0,0,gesummv__opt5,discrete_simulated_annealing
673,0,0,gesummv__opt5,grouped_discrete_simulated_annealing
66406,186,12351516,k15mmseq__opt5,random_search
66408,168,11156544,k15mmseq__opt5,random_search
66410,158,10492780,k15mmseq__opt5,random_search
65396,222,14517912,k15mmseq__opt5,random_search
74585,156,11635260,k15mmseq__opt5,random_search
66402,190,12616380,k15mmseq__opt5,random_search
74631,144,10746864,k15mmseq__opt5,random_search
61454,232,14257328,k15mmseq__opt5,group_random_search
63298,104,6582992,k15mmseq__opt5,group_random_search
62485,152,9497720,k15mmseq__opt5,group_random_search
70491,32,2255712,k15mmseq__opt5,group_random_search
62954,120,7554480,k15mmseq__opt5,group_random_search
64076,56,3588256,k15mmseq__opt5,group_random_search
74530,16,1192480,k15mmseq__opt5,group_random_search
61796,184,11370464,k15mmseq__opt5,group_random_search
64945,40,2597800,k15mmseq__opt5,group_random_search
62885,136,8552360,k15mmseq__opt5,group_random_search
61047,272,16604784,k15mmseq__opt5,group_random_search
61329,240,14718960,k15mmseq__opt5,group_random_search
61048,280,17093440,k15mmseq__opt5,heuristic
61328,200,12265600,k15mmseq__opt5,heuristic
62982,198,12470436,k15mmseq__opt5,heuristic
61454,232,14257328,k15mmseq__opt5,init_simulated_annealing
63298,104,6582992,k15mmseq__opt5,init_simulated_annealing
62485,152,9497720,k15mmseq__opt5,init_simulated_annealing
70491,32,2255712,k15mmseq__opt5,init_simulated_annealing
62954,120,7554480,k15mmseq__opt5,init_simulated_annealing
64076,56,3588256,k15mmseq__opt5,init_simulated_annealing
74530,16,1192480,k15mmseq__opt5,init_simulated_annealing
61796,184,11370464,k15mmseq__opt5,init_simulated_annealing
64945,40,2597800,k15mmseq__opt5,init_simulated_annealing
62885,136,8552360,k15mmseq__opt5,init_simulated_annealing
61047,272,16604784,k15mmseq__opt5,init_simulated_annealing
61329,240,14718960,k15mmseq__opt5,init_simulated_annealing
66402,164,10889928,k15mmseq__opt5,discrete_simulated_annealing
65278,174,11358372,k15mmseq__opt5,discrete_simulated_annealing
74627,142,10597034,k15mmseq__opt5,discrete_simulated_annealing
74661,132,9855252,k15mmseq__opt5,discrete_simulated_annealing
65396,166,10855736,k15mmseq__opt5,discrete_simulated_annealing
66410,146,9695860,k15mmseq__opt5,discrete_simulated_annealing
66247,24,1589928,k15mmseq__opt5,grouped_discrete_simulated_annealing
66323,8,530584,k15mmseq__opt5,grouped_discrete_simulated_annealing
74529,0,0,k15mmseq__opt5,grouped_discrete_simulated_annealing
62954,104,6547216,k15mmseq__opt5,grouped_discrete_simulated_annealing
61046,232,14162672,k15mmseq__opt5,grouped_discrete_simulated_annealing
61328,200,12265600,k15mmseq__opt5,grouped_discrete_simulated_annealing
