stream_name,depth
NHWCToStream_0_out0_stream_0,2
NHWCToStream_0_out0_stream_1,2
NHWCToStream_1_out0_stream_0,2
StreamingLineBuffer_0_out0_stream_0,4
StreamingLineBuffer_0_out0_stream_1,4
StreamingLineBuffer_0_out0_stream_2,4
StreamingLineBuffer_0_out0_stream_3,4
StreamingLineBuffer_0_out0_stream_4,4
StreamingLineBuffer_0_out0_stream_5,4
StreamingLineBuffer_0_out0_stream_6,4
StreamingLineBuffer_0_out0_stream_7,4
StreamingLineBuffer_0_out0_stream_8,4
StreamingLineBuffer_0_out0_stream_9,4
StreamingLineBuffer_0_out0_stream_10,4
StreamingLineBuffer_0_out0_stream_11,4
StreamingLineBuffer_0_out0_stream_12,4
StreamingLineBuffer_0_out0_stream_13,4
StreamingLineBuffer_0_out0_stream_14,4
StreamingLineBuffer_0_out0_stream_prepad_0,29
StreamingLineBuffer_0_out0_stream_prepad_1,31
StreamingLineBuffer_0_out0_stream_prepad_2,30
StreamingLineBuffer_0_out0_stream_prepad_3,31
StreamingLineBuffer_0_out0_stream_prepad_4,30
StreamingLineBuffer_0_out0_stream_prepad_5,30
StreamingLineBuffer_0_out0_stream_prepad_6,31
StreamingLineBuffer_0_out0_stream_prepad_7,30
StreamingLineBuffer_0_out0_stream_prepad_8,31
StreamingLineBuffer_0_out0_stream_prepad_9,30
StreamingLineBuffer_0_out0_stream_prepad_10,31
StreamingLineBuffer_0_out0_stream_prepad_11,31
StreamingLineBuffer_0_out0_stream_prepad_12,31
StreamingLineBuffer_0_out0_stream_prepad_13,31
StreamingLineBuffer_0_out0_stream_prepad_14,31
StreamingLineBuffer_0_buffer_stream_0,2
StreamingLineBuffer_0_buffer_stream_1,2
StreamingLineBuffer_0_buffer_stream_2,2
StreamingLineBuffer_0_buffer_stream_3,112
StreamingLineBuffer_0_buffer_stream_4,111
StreamingLineBuffer_0_buffer_stream_5,2
StreamingLineBuffer_0_buffer_stream_6,2
StreamingLineBuffer_0_buffer_stream_7,2
StreamingLineBuffer_0_buffer_stream_8,112
StreamingLineBuffer_0_buffer_stream_9,111
StreamingLineBuffer_0_buffer_stream_10,2
