stream_name,depth
NHWCToStream_0_out0_stream_0,2
NHWCToStream_0_out0_stream_1,2
NHWCToStream_0_out0_stream_2,2
NHWCToStream_0_out0_stream_3,2
NHWCToStream_1_out0_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_1,2
BandwidthAdjustDecreaseChannels_0_out0_stream_2,2
BandwidthAdjustDecreaseChannels_0_out0_stream_3,2
StreamingMemory_0_out0_stream_0,2
StreamingMemory_0_out0_stream_1,2
StreamingMemory_0_out0_stream_2,2
StreamingMemory_0_out0_stream_3,2
StreamingMemory_0_out0_stream_4,2
StreamingMemory_0_out0_stream_5,2
StreamingMemory_0_out0_stream_6,2
StreamingMemory_0_out0_stream_7,2
StreamingMemory_0_out0_stream_8,2
StreamingMemory_0_out1_stream_0,2
StreamingLineBuffer_0_out0_stream_0,14
StreamingLineBuffer_0_out0_stream_1,14
StreamingLineBuffer_0_out0_stream_2,14
StreamingLineBuffer_0_out0_stream_3,14
StreamingLineBuffer_0_out0_stream_4,14
StreamingLineBuffer_0_out0_stream_5,14
StreamingLineBuffer_0_out0_stream_6,14
StreamingLineBuffer_0_out0_stream_7,14
StreamingLineBuffer_0_out0_stream_8,14
StreamingLineBuffer_0_out0_stream_9,14
StreamingLineBuffer_0_out0_stream_10,14
StreamingLineBuffer_0_out0_stream_11,14
StreamingLineBuffer_0_out0_stream_12,14
StreamingLineBuffer_0_out0_stream_13,14
StreamingLineBuffer_0_out0_stream_14,14
StreamingLineBuffer_0_out0_stream_15,14
StreamingLineBuffer_0_out0_stream_16,14
StreamingLineBuffer_0_out0_stream_17,14
StreamingLineBuffer_0_out0_stream_prepad_0,9
StreamingLineBuffer_0_out0_stream_prepad_1,6
StreamingLineBuffer_0_out0_stream_prepad_2,42
StreamingLineBuffer_0_out0_stream_prepad_3,42
StreamingLineBuffer_0_out0_stream_prepad_4,8
StreamingLineBuffer_0_out0_stream_prepad_5,5
StreamingLineBuffer_0_out0_stream_prepad_6,12
StreamingLineBuffer_0_out0_stream_prepad_7,8
StreamingLineBuffer_0_out0_stream_prepad_8,19
