stream_name,depth
NHWCToStream_0_out0_stream_0,2
NHWCToStream_1_out0_stream_0,2
StreamingLineBuffer_0_out0_stream_0,11
StreamingLineBuffer_0_out0_stream_1,11
StreamingLineBuffer_0_out0_stream_2,11
StreamingLineBuffer_0_out0_stream_3,11
StreamingLineBuffer_0_out0_stream_4,11
StreamingLineBuffer_0_out0_stream_5,11
StreamingLineBuffer_0_out0_stream_6,11
StreamingLineBuffer_0_out0_stream_7,11
StreamingLineBuffer_0_out0_stream_8,11
StreamingLineBuffer_0_out0_stream_prepad_0,10
StreamingLineBuffer_0_out0_stream_prepad_1,10
StreamingLineBuffer_0_out0_stream_prepad_2,10
StreamingLineBuffer_0_out0_stream_prepad_3,11
StreamingLineBuffer_0_out0_stream_prepad_4,11
StreamingLineBuffer_0_out0_stream_prepad_5,12
StreamingLineBuffer_0_out0_stream_prepad_6,12
StreamingLineBuffer_0_out0_stream_prepad_7,13
StreamingLineBuffer_0_out0_stream_prepad_8,13
StreamingLineBuffer_0_buffer_stream_0,4
StreamingLineBuffer_0_buffer_stream_1,4
StreamingLineBuffer_0_buffer_stream_2,1915
StreamingLineBuffer_0_buffer_stream_3,4
StreamingLineBuffer_0_buffer_stream_4,4
StreamingLineBuffer_0_buffer_stream_5,1915
StreamingLineBuffer_0_buffer_stream_6,4
StreamingLineBuffer_0_buffer_stream_7,4
StreamingMemory_0_out0_stream_0,2
StreamingMemory_0_out0_stream_1,2
StreamingMemory_0_out0_stream_2,2
StreamingMemory_0_out0_stream_3,2
StreamingMemory_0_out0_stream_4,2
StreamingMemory_0_out0_stream_5,2
StreamingMemory_0_out0_stream_6,2
StreamingMemory_0_out0_stream_7,2
StreamingMemory_0_out0_stream_8,2
StreamingMemory_0_out1_stream_0,2
StreamingMemory_1_out0_stream_0,2
StreamingMemory_1_out1_stream_0,2
StreamingConv_0_out0_stream_0,2
StreamingMemory_2_out0_stream_0,2
StreamingMemory_2_out0_stream_1,2
StreamingMemory_2_out0_stream_2,2
StreamingMemory_2_out0_stream_3,2
StreamingMemory_2_out0_stream_4,2
StreamingMemory_2_out0_stream_5,2
StreamingMemory_2_out0_stream_6,2
StreamingMemory_2_out0_stream_7,2
StreamingMemory_2_out0_stream_8,2
StreamingMemory_2_out1_stream_0,2
StreamingSwish_0_out0_stream_0,3
StreamingMemory_3_out0_stream_0,2
StreamingMemory_3_out1_stream_0,2
BandwidthAdjustIncreaseStreams_0_out0_stream_0,3
BandwidthAdjustIncreaseStreams_0_out0_stream_1,3
StreamingMemory_4_out0_stream_0,2
StreamingMemory_4_out1_stream_0,2
StreamingLineBuffer_1_out0_stream_0,10
StreamingLineBuffer_1_out0_stream_1,10
StreamingLineBuffer_1_out0_stream_2,10
StreamingLineBuffer_1_out0_stream_3,10
StreamingLineBuffer_1_out0_stream_4,10
StreamingLineBuffer_1_out0_stream_5,10
StreamingLineBuffer_1_out0_stream_6,10
StreamingLineBuffer_1_out0_stream_7,10
StreamingLineBuffer_1_out0_stream_8,10
StreamingLineBuffer_1_out0_stream_9,10
StreamingLineBuffer_1_out0_stream_10,10
StreamingLineBuffer_1_out0_stream_11,10
StreamingLineBuffer_1_out0_stream_12,10
StreamingLineBuffer_1_out0_stream_13,10
StreamingLineBuffer_1_out0_stream_14,10
StreamingLineBuffer_1_out0_stream_prepad_0,772
StreamingLineBuffer_1_out0_stream_prepad_1,801
StreamingLineBuffer_1_out0_stream_prepad_2,765
StreamingLineBuffer_1_out0_stream_prepad_3,799
StreamingLineBuffer_1_out0_stream_prepad_4,765
StreamingLineBuffer_1_out0_stream_prepad_5,775
StreamingLineBuffer_1_out0_stream_prepad_6,796
StreamingLineBuffer_1_out0_stream_prepad_7,776
StreamingLineBuffer_1_out0_stream_prepad_8,796
StreamingLineBuffer_1_out0_stream_prepad_9,777
StreamingLineBuffer_1_out0_stream_prepad_10,781
StreamingLineBuffer_1_out0_stream_prepad_11,794
StreamingLineBuffer_1_out0_stream_prepad_12,782
StreamingLineBuffer_1_out0_stream_prepad_13,795
StreamingLineBuffer_1_out0_stream_prepad_14,783
StreamingLineBuffer_1_buffer_stream_0,17
StreamingLineBuffer_1_buffer_stream_1,17
StreamingLineBuffer_1_buffer_stream_2,17
StreamingLineBuffer_1_buffer_stream_3,2545
StreamingLineBuffer_1_buffer_stream_4,2529
StreamingLineBuffer_1_buffer_stream_5,17
StreamingLineBuffer_1_buffer_stream_6,17
StreamingLineBuffer_1_buffer_stream_7,17
StreamingLineBuffer_1_buffer_stream_8,2545
StreamingLineBuffer_1_buffer_stream_9,2529
StreamingLineBuffer_1_buffer_stream_10,17
StreamingLineBuffer_1_buffer_stream_11,17
StreamingLineBuffer_1_buffer_stream_12,17
StreamingMemory_5_out0_stream_0,2
StreamingMemory_5_out1_stream_0,2
StreamingConv_1_out0_stream_0,4
StreamingConv_1_out0_stream_1,4
StreamingMemory_6_out0_stream_0,2
StreamingMemory_6_out0_stream_1,2
StreamingMemory_6_out0_stream_2,2
StreamingMemory_6_out0_stream_3,2
StreamingMemory_6_out0_stream_4,2
StreamingMemory_6_out0_stream_5,2
StreamingMemory_6_out0_stream_6,2
StreamingMemory_6_out0_stream_7,2
StreamingMemory_6_out0_stream_8,2
StreamingMemory_6_out1_stream_0,2
StreamingSwish_1_out0_stream_0,3
StreamingSwish_1_out0_stream_1,3
StreamingMemory_7_out0_stream_0,2
StreamingMemory_7_out1_stream_0,2
BandwidthAdjustIncreaseChannels_0_out0_stream_0,2
BandwidthAdjustIncreaseChannels_0_out0_stream_1,2
StreamingMemory_8_out0_stream_0,2
StreamingMemory_8_out0_stream_1,2
StreamingMemory_8_out0_stream_2,2
StreamingMemory_8_out0_stream_3,2
StreamingMemory_8_out0_stream_4,2
StreamingMemory_8_out0_stream_5,2
StreamingMemory_8_out0_stream_6,2
StreamingMemory_8_out0_stream_7,2
StreamingMemory_8_out0_stream_8,2
StreamingMemory_8_out1_stream_0,2
StreamingLineBuffer_2_out0_stream_0,20
StreamingLineBuffer_2_out0_stream_1,20
StreamingMemory_9_out0_stream_0,2
StreamingMemory_9_out1_stream_0,2
StreamingConv_2_out0_stream_0,4
StreamingConv_2_out0_stream_1,4
StreamingMemory_10_out0_stream_0,2
StreamingMemory_10_out1_stream_0,2
StreamingSwish_2_out0_stream_0,2
StreamingSwish_2_out0_stream_1,2
StreamingMemory_11_out0_stream_0,2
StreamingMemory_11_out1_stream_0,2
StreamingSplit_0_out0_stream_0,2
StreamingSplit_0_out0_stream_1,2
StreamingSplit_0_out1_stream_0,3
StreamingSplit_0_out1_stream_1,3
StreamingMemory_12_out0_stream_0,2
StreamingMemory_12_out0_stream_1,2
StreamingMemory_12_out0_stream_2,2
StreamingMemory_12_out0_stream_3,2
StreamingMemory_12_out0_stream_4,2
StreamingMemory_12_out0_stream_5,2
StreamingMemory_12_out0_stream_6,2
StreamingMemory_12_out0_stream_7,2
StreamingMemory_12_out0_stream_8,2
StreamingMemory_12_out1_stream_0,2
TensorDuplicator_0_out0_stream_0,4
TensorDuplicator_0_out0_stream_1,4
TensorDuplicator_0_out1_stream_0,2643
TensorDuplicator_0_out1_stream_1,2643
StreamingMemory_13_out0_stream_0,2
StreamingMemory_13_out1_stream_0,2
TensorDuplicator_1_out0_stream_0,3
TensorDuplicator_1_out0_stream_1,3
TensorDuplicator_1_out1_stream_0,3
TensorDuplicator_1_out1_stream_1,3
StreamingMemory_14_out0_stream_0,2
StreamingMemory_14_out1_stream_0,2
StreamingConcat_0_out0_stream_0,5249
StreamingConcat_0_out0_stream_1,5249
StreamingLineBuffer_3_out0_stream_0,10
StreamingLineBuffer_3_out0_stream_1,10
StreamingLineBuffer_3_out0_stream_2,10
StreamingLineBuffer_3_out0_stream_3,10
StreamingLineBuffer_3_out0_stream_4,10
StreamingLineBuffer_3_out0_stream_5,10
StreamingLineBuffer_3_out0_stream_6,10
StreamingLineBuffer_3_out0_stream_7,10
StreamingLineBuffer_3_out0_stream_8,10
StreamingLineBuffer_3_out0_stream_9,10
StreamingLineBuffer_3_out0_stream_10,10
StreamingLineBuffer_3_out0_stream_11,10
StreamingLineBuffer_3_out0_stream_prepad_0,48
StreamingLineBuffer_3_out0_stream_prepad_1,32
StreamingLineBuffer_3_out0_stream_prepad_2,33
StreamingLineBuffer_3_out0_stream_prepad_3,17
StreamingLineBuffer_3_out0_stream_prepad_4,34
StreamingLineBuffer_3_out0_stream_prepad_5,17
StreamingLineBuffer_3_out0_stream_prepad_6,34
StreamingLineBuffer_3_out0_stream_prepad_7,18
StreamingLineBuffer_3_out0_stream_prepad_8,35
StreamingLineBuffer_3_out0_stream_prepad_9,19
StreamingLineBuffer_3_out0_stream_prepad_10,36
StreamingLineBuffer_3_out0_stream_prepad_11,20
StreamingLineBuffer_3_buffer_stream_0,17
StreamingLineBuffer_3_buffer_stream_1,17
StreamingLineBuffer_3_buffer_stream_2,1265
StreamingLineBuffer_3_buffer_stream_3,1265
StreamingLineBuffer_3_buffer_stream_4,17
StreamingLineBuffer_3_buffer_stream_5,17
StreamingLineBuffer_3_buffer_stream_6,1265
StreamingLineBuffer_3_buffer_stream_7,1265
StreamingLineBuffer_3_buffer_stream_8,17
StreamingLineBuffer_3_buffer_stream_9,17
StreamingMemory_15_out0_stream_0,2
StreamingMemory_15_out1_stream_0,2
StreamingConv_3_out0_stream_0,4
StreamingConv_3_out0_stream_1,4
StreamingMemory_16_out0_stream_0,2
StreamingMemory_16_out0_stream_1,2
StreamingMemory_16_out0_stream_2,2
StreamingMemory_16_out0_stream_3,2
StreamingMemory_16_out0_stream_4,2
StreamingMemory_16_out0_stream_5,2
StreamingMemory_16_out0_stream_6,2
StreamingMemory_16_out0_stream_7,2
StreamingMemory_16_out0_stream_8,2
StreamingMemory_16_out1_stream_0,2
StreamingSwish_3_out0_stream_0,2
StreamingSwish_3_out0_stream_1,2
StreamingMemory_17_out0_stream_0,2
StreamingMemory_17_out1_stream_0,2
StreamingLineBuffer_4_out0_stream_0,10
StreamingLineBuffer_4_out0_stream_1,10
StreamingLineBuffer_4_out0_stream_2,10
StreamingLineBuffer_4_out0_stream_3,10
StreamingLineBuffer_4_out0_stream_4,10
StreamingLineBuffer_4_out0_stream_5,10
StreamingLineBuffer_4_out0_stream_6,10
StreamingLineBuffer_4_out0_stream_7,10
StreamingLineBuffer_4_out0_stream_8,10
StreamingLineBuffer_4_out0_stream_9,10
StreamingLineBuffer_4_out0_stream_10,10
StreamingLineBuffer_4_out0_stream_11,10
StreamingLineBuffer_4_out0_stream_prepad_0,48
StreamingLineBuffer_4_out0_stream_prepad_1,32
StreamingLineBuffer_4_out0_stream_prepad_2,33
StreamingLineBuffer_4_out0_stream_prepad_3,17
StreamingLineBuffer_4_out0_stream_prepad_4,34
StreamingLineBuffer_4_out0_stream_prepad_5,17
StreamingLineBuffer_4_out0_stream_prepad_6,34
StreamingLineBuffer_4_out0_stream_prepad_7,18
StreamingLineBuffer_4_out0_stream_prepad_8,35
StreamingLineBuffer_4_out0_stream_prepad_9,19
StreamingLineBuffer_4_out0_stream_prepad_10,36
StreamingLineBuffer_4_out0_stream_prepad_11,20
StreamingLineBuffer_4_buffer_stream_0,17
StreamingLineBuffer_4_buffer_stream_1,17
StreamingLineBuffer_4_buffer_stream_2,1265
StreamingLineBuffer_4_buffer_stream_3,1265
StreamingLineBuffer_4_buffer_stream_4,17
StreamingLineBuffer_4_buffer_stream_5,17
StreamingLineBuffer_4_buffer_stream_6,1265
StreamingLineBuffer_4_buffer_stream_7,1265
StreamingLineBuffer_4_buffer_stream_8,17
StreamingLineBuffer_4_buffer_stream_9,17
StreamingMemory_18_out0_stream_0,2
StreamingMemory_18_out0_stream_1,2
StreamingMemory_18_out0_stream_2,2
StreamingMemory_18_out0_stream_3,2
StreamingMemory_18_out0_stream_4,2
StreamingMemory_18_out0_stream_5,2
StreamingMemory_18_out0_stream_6,2
StreamingMemory_18_out0_stream_7,2
StreamingMemory_18_out0_stream_8,2
StreamingMemory_18_out1_stream_0,2
StreamingConv_4_out0_stream_0,4
StreamingConv_4_out0_stream_1,4
StreamingMemory_19_out0_stream_0,2
StreamingMemory_19_out1_stream_0,2
StreamingSwish_4_out0_stream_0,3
StreamingSwish_4_out0_stream_1,3
StreamingMemory_20_out0_stream_0,2
StreamingMemory_20_out0_stream_1,2
StreamingMemory_20_out0_stream_2,2
StreamingMemory_20_out0_stream_3,2
StreamingMemory_20_out0_stream_4,2
StreamingMemory_20_out0_stream_5,2
StreamingMemory_20_out0_stream_6,2
StreamingMemory_20_out0_stream_7,2
StreamingMemory_20_out0_stream_8,2
StreamingMemory_20_out1_stream_0,2
StreamingAdd_0_out0_stream_0,3
StreamingAdd_0_out0_stream_1,3
StreamingMemory_21_out0_stream_0,2
StreamingMemory_21_out1_stream_0,2
StreamingConcat_1_out0_stream_0,2
StreamingConcat_1_out0_stream_1,2
StreamingMemory_22_out0_stream_0,2
StreamingMemory_22_out0_stream_1,2
StreamingMemory_22_out0_stream_2,2
StreamingMemory_22_out0_stream_3,2
StreamingMemory_22_out0_stream_4,2
StreamingMemory_22_out0_stream_5,2
StreamingMemory_22_out0_stream_6,2
StreamingMemory_22_out0_stream_7,2
StreamingMemory_22_out0_stream_8,2
StreamingMemory_22_out1_stream_0,2
StreamingLineBuffer_5_out0_stream_0,1313
StreamingLineBuffer_5_out0_stream_1,1313
StreamingMemory_23_out0_stream_0,2
StreamingMemory_23_out1_stream_0,2
StreamingConv_5_out0_stream_0,4
StreamingConv_5_out0_stream_1,4
StreamingMemory_24_out0_stream_0,2
StreamingMemory_24_out1_stream_0,2
StreamingSwish_5_out0_stream_0,9
StreamingSwish_5_out0_stream_1,9
StreamingMemory_25_out0_stream_0,2
StreamingMemory_25_out1_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_0,3
BandwidthAdjustDecreaseChannels_0_out0_stream_1,3
StreamingMemory_26_out0_stream_0,2
StreamingMemory_26_out1_stream_0,2
StreamingLineBuffer_6_out0_stream_0,10
StreamingLineBuffer_6_out0_stream_1,10
StreamingLineBuffer_6_out0_stream_2,10
StreamingLineBuffer_6_out0_stream_3,10
StreamingLineBuffer_6_out0_stream_4,10
StreamingLineBuffer_6_out0_stream_5,10
StreamingLineBuffer_6_out0_stream_6,10
StreamingLineBuffer_6_out0_stream_7,10
StreamingLineBuffer_6_out0_stream_8,10
StreamingLineBuffer_6_out0_stream_9,10
StreamingLineBuffer_6_out0_stream_10,10
StreamingLineBuffer_6_out0_stream_11,10
StreamingLineBuffer_6_out0_stream_12,10
StreamingLineBuffer_6_out0_stream_13,10
StreamingLineBuffer_6_out0_stream_14,10
StreamingLineBuffer_6_out0_stream_prepad_0,324
StreamingLineBuffer_6_out0_stream_prepad_1,391
StreamingLineBuffer_6_out0_stream_prepad_2,305
StreamingLineBuffer_6_out0_stream_prepad_3,372
StreamingLineBuffer_6_out0_stream_prepad_4,306
StreamingLineBuffer_6_out0_stream_prepad_5,327
StreamingLineBuffer_6_out0_stream_prepad_6,361
StreamingLineBuffer_6_out0_stream_prepad_7,328
StreamingLineBuffer_6_out0_stream_prepad_8,362
StreamingLineBuffer_6_out0_stream_prepad_9,329
StreamingLineBuffer_6_out0_stream_prepad_10,342
StreamingLineBuffer_6_out0_stream_prepad_11,343
