stream_name,depth
NHWCToStream_0_out0_stream_0,3
NHWCToStream_0_out0_stream_1,3
NHWCToStream_1_out0_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_1,2
StreamingMemory_0_out0_stream_0,2
StreamingMemory_0_out1_stream_0,2
StreamingLineBuffer_0_out0_stream_0,10
StreamingLineBuffer_0_out0_stream_prepad_0,162
StreamingLineBuffer_0_out0_stream_prepad_1,162
StreamingLineBuffer_0_out0_stream_prepad_2,163
StreamingLineBuffer_0_out0_stream_prepad_3,163
StreamingLineBuffer_0_out0_stream_prepad_4,165
StreamingLineBuffer_0_out0_stream_prepad_5,165
StreamingLineBuffer_0_out0_stream_prepad_6,163
StreamingLineBuffer_0_out0_stream_prepad_7,163
StreamingLineBuffer_0_out0_stream_prepad_8,166
StreamingLineBuffer_0_out0_stream_prepad_9,166
StreamingLineBuffer_0_out0_stream_prepad_10,166
StreamingLineBuffer_0_out0_stream_prepad_11,166
StreamingLineBuffer_0_out0_stream_prepad_12,166
StreamingLineBuffer_0_out0_stream_prepad_13,166
StreamingLineBuffer_0_out0_stream_prepad_14,166
StreamingLineBuffer_0_out0_stream_prepad_15,166
StreamingLineBuffer_0_out0_stream_prepad_16,166
StreamingLineBuffer_0_out0_stream_prepad_17,166
StreamingLineBuffer_0_out0_stream_prepad_18,166
StreamingLineBuffer_0_out0_stream_prepad_19,166
StreamingLineBuffer_0_out0_stream_prepad_20,167
StreamingLineBuffer_0_out0_stream_prepad_21,167
StreamingLineBuffer_0_out0_stream_prepad_22,166
StreamingLineBuffer_0_out0_stream_prepad_23,166
StreamingLineBuffer_0_out0_stream_prepad_24,169
StreamingLineBuffer_0_out0_stream_prepad_25,169
StreamingLineBuffer_0_out0_stream_prepad_26,169
StreamingLineBuffer_0_out0_stream_prepad_27,169
StreamingLineBuffer_0_out0_stream_prepad_28,169
StreamingLineBuffer_0_out0_stream_prepad_29,169
StreamingLineBuffer_0_out0_stream_prepad_30,169
StreamingLineBuffer_0_out0_stream_prepad_31,169
StreamingLineBuffer_0_out0_stream_prepad_32,169
StreamingLineBuffer_0_out0_stream_prepad_33,169
StreamingLineBuffer_0_out0_stream_prepad_34,169
StreamingLineBuffer_0_out0_stream_prepad_35,169
StreamingLineBuffer_0_out0_stream_prepad_36,170
StreamingLineBuffer_0_out0_stream_prepad_37,170
StreamingLineBuffer_0_out0_stream_prepad_38,170
StreamingLineBuffer_0_out0_stream_prepad_39,170
StreamingLineBuffer_0_out0_stream_prepad_40,171
StreamingLineBuffer_0_out0_stream_prepad_41,171
StreamingLineBuffer_0_out0_stream_prepad_42,172
StreamingLineBuffer_0_out0_stream_prepad_43,172
StreamingLineBuffer_0_out0_stream_prepad_44,172
StreamingLineBuffer_0_out0_stream_prepad_45,172
StreamingLineBuffer_0_out0_stream_prepad_46,172
StreamingLineBuffer_0_out0_stream_prepad_47,172
StreamingLineBuffer_0_buffer_stream_0,4
StreamingLineBuffer_0_buffer_stream_1,4
StreamingLineBuffer_0_buffer_stream_2,4
StreamingLineBuffer_0_buffer_stream_3,4
StreamingLineBuffer_0_buffer_stream_4,4
StreamingLineBuffer_0_buffer_stream_5,4
StreamingLineBuffer_0_buffer_stream_6,952
StreamingLineBuffer_0_buffer_stream_7,952
StreamingLineBuffer_0_buffer_stream_8,4
StreamingLineBuffer_0_buffer_stream_9,4
StreamingLineBuffer_0_buffer_stream_10,4
StreamingLineBuffer_0_buffer_stream_11,4
StreamingLineBuffer_0_buffer_stream_12,4
StreamingLineBuffer_0_buffer_stream_13,4
StreamingLineBuffer_0_buffer_stream_14,952
StreamingLineBuffer_0_buffer_stream_15,952
StreamingLineBuffer_0_buffer_stream_16,4
StreamingLineBuffer_0_buffer_stream_17,4
StreamingLineBuffer_0_buffer_stream_18,4
StreamingLineBuffer_0_buffer_stream_19,4
StreamingLineBuffer_0_buffer_stream_20,4
StreamingLineBuffer_0_buffer_stream_21,4
StreamingLineBuffer_0_buffer_stream_22,952
StreamingLineBuffer_0_buffer_stream_23,952
StreamingLineBuffer_0_buffer_stream_24,4
StreamingLineBuffer_0_buffer_stream_25,4
StreamingLineBuffer_0_buffer_stream_26,4
StreamingLineBuffer_0_buffer_stream_27,4
StreamingLineBuffer_0_buffer_stream_28,4
StreamingLineBuffer_0_buffer_stream_29,4
StreamingLineBuffer_0_buffer_stream_30,952
StreamingLineBuffer_0_buffer_stream_31,952
StreamingLineBuffer_0_buffer_stream_32,4
StreamingLineBuffer_0_buffer_stream_33,4
StreamingLineBuffer_0_buffer_stream_34,4
StreamingLineBuffer_0_buffer_stream_35,4
StreamingLineBuffer_0_buffer_stream_36,4
StreamingLineBuffer_0_buffer_stream_37,4
StreamingLineBuffer_0_buffer_stream_38,952
StreamingLineBuffer_0_buffer_stream_39,952
StreamingLineBuffer_0_buffer_stream_40,4
StreamingLineBuffer_0_buffer_stream_41,4
StreamingLineBuffer_0_buffer_stream_42,4
StreamingLineBuffer_0_buffer_stream_43,4
StreamingLineBuffer_0_buffer_stream_44,4
StreamingLineBuffer_0_buffer_stream_45,4
StreamingMemory_1_out0_stream_0,2
StreamingMemory_1_out1_stream_0,2
StreamingConv_0_out0_stream_0,4
StreamingConv_0_out0_stream_1,4
StreamingMemory_2_out0_stream_0,2
StreamingMemory_2_out1_stream_0,2
StreamingSwish_0_out0_stream_0,2
StreamingSwish_0_out0_stream_1,2
StreamingMemory_3_out0_stream_0,2
StreamingMemory_3_out1_stream_0,2
StreamingLineBuffer_1_out0_stream_0,9
StreamingLineBuffer_1_out0_stream_prepad_0,784
StreamingLineBuffer_1_out0_stream_prepad_1,816
StreamingLineBuffer_1_out0_stream_prepad_2,785
StreamingLineBuffer_1_out0_stream_prepad_3,817
StreamingLineBuffer_1_out0_stream_prepad_4,785
StreamingLineBuffer_1_out0_stream_prepad_5,794
StreamingLineBuffer_1_out0_stream_prepad_6,812
StreamingLineBuffer_1_out0_stream_prepad_7,795
StreamingLineBuffer_1_out0_stream_prepad_8,813
StreamingLineBuffer_1_out0_stream_prepad_9,796
StreamingLineBuffer_1_out0_stream_prepad_10,801
StreamingLineBuffer_1_out0_stream_prepad_11,802
StreamingLineBuffer_1_out0_stream_prepad_12,802
StreamingLineBuffer_1_out0_stream_prepad_13,803
StreamingLineBuffer_1_out0_stream_prepad_14,803
StreamingLineBuffer_1_buffer_stream_0,17
StreamingLineBuffer_1_buffer_stream_1,17
StreamingLineBuffer_1_buffer_stream_2,17
StreamingLineBuffer_1_buffer_stream_3,2545
StreamingLineBuffer_1_buffer_stream_4,2529
StreamingLineBuffer_1_buffer_stream_5,17
StreamingLineBuffer_1_buffer_stream_6,17
StreamingLineBuffer_1_buffer_stream_7,17
StreamingLineBuffer_1_buffer_stream_8,2545
StreamingLineBuffer_1_buffer_stream_9,2529
StreamingLineBuffer_1_buffer_stream_10,17
StreamingLineBuffer_1_buffer_stream_11,17
StreamingLineBuffer_1_buffer_stream_12,17
StreamingMemory_4_out0_stream_0,2
StreamingMemory_4_out1_stream_0,2
StreamingConv_1_out0_stream_0,4
StreamingConv_1_out0_stream_1,4
StreamingMemory_5_out0_stream_0,2
StreamingMemory_5_out1_stream_0,2
StreamingSwish_1_out0_stream_0,3
StreamingSwish_1_out0_stream_1,3
StreamingMemory_6_out0_stream_0,2
StreamingMemory_6_out1_stream_0,2
TensorDuplicator_0_out0_stream_0,13
TensorDuplicator_0_out0_stream_1,13
TensorDuplicator_0_out1_stream_0,13
TensorDuplicator_0_out1_stream_1,13
StreamingMemory_7_out0_stream_0,2
StreamingMemory_7_out1_stream_0,2
StreamingLineBuffer_2_out0_stream_0,8
StreamingLineBuffer_2_out0_stream_prepad_0,4
StreamingLineBuffer_2_out0_stream_prepad_1,4
StreamingLineBuffer_3_out0_stream_0,8
StreamingLineBuffer_3_out0_stream_prepad_0,4
