optimizer,n_samples,best_score,best_latency,best_bram,runtime_seconds,num_valid_points,num_total_points
RandomSearchOptimizer,10,1.7706444332382172,48420,132,0.004221817012876272,2,10
RandomSearchOptimizer,5564,1.5435699658073405,42144,118,0.5397477170045022,1056,5564
RandomSearchOptimizer,11119,1.5300712449571974,42115,102,1.0068146259873174,2177,11119
RandomSearchOptimizer,16673,1.4766455217455476,39747,138,1.583148293022532,3209,16673
RandomSearchOptimizer,22228,1.4766455217455476,39747,138,2.0432987840031274,4282,22228
RandomSearchOptimizer,27782,1.4766455217455476,39747,138,2.6217678709945176,5407,27782
RandomSearchOptimizer,33337,1.4766455217455476,39747,138,3.104496388026746,6493,33337
RandomSearchOptimizer,38891,1.4766455217455476,39747,138,3.587216173997149,7591,38891
RandomSearchOptimizer,44446,1.4766455217455476,39747,138,4.1303556069906335,8680,44446
RandomSearchOptimizer,50000,1.4766455217455476,39747,138,4.646161639975617,9773,50000
GroupRandomSearchOptimizer,10,1.047617583390731,28605,80,0.004479451017687097,8,10
GroupRandomSearchOptimizer,5564,0.7998278067499753,20321,128,0.43256303400266916,3729,5564
GroupRandomSearchOptimizer,11119,0.7748278067499754,20321,96,0.8694157249992713,7466,11119
GroupRandomSearchOptimizer,16673,0.7623278067499754,20321,80,1.2679946229909547,11192,16673
GroupRandomSearchOptimizer,22228,0.7623278067499754,20321,80,1.8587119760049973,14847,22228
GroupRandomSearchOptimizer,27782,0.7623278067499754,20321,80,2.422672168002464,18592,27782
GroupRandomSearchOptimizer,33337,0.7623278067499754,20321,80,2.9286757849913556,22325,33337
GroupRandomSearchOptimizer,38891,0.7623278067499754,20321,80,3.0581621780002024,25994,38891
GroupRandomSearchOptimizer,44446,0.7623278067499754,20321,80,3.447419328993419,29711,44446
GroupRandomSearchOptimizer,50000,0.7623278067499754,20321,80,3.843407027015928,33371,50000
